Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Nagapura,"1,41,483","1,39,368","98,030","82,624","80,660","54,679",98.50%,70.30%,84.30%,97.60%,"25,964",32.20%,38.60%,"₹70,22,651",7.1,₹124.44,"4,03,856"
Arakere,"1,95,559","1,93,102","1,54,164","84,275","82,042","54,476",98.70%,79.80%,54.70%,97.40%,"27,555",33.60%,27.90%,"₹79,68,379",8.4,₹148.10,"4,57,966"
Devasandra,"2,14,927","2,12,924","1,75,837","93,660","92,088","53,059",99.10%,82.60%,53.30%,98.30%,"38,987",42.30%,24.70%,"₹88,99,576",8.8,₹159.12,"4,93,204"
Amrutahalli,"1,75,369","1,73,387","1,31,557","85,364","83,283","52,867",98.90%,75.90%,64.90%,97.60%,"30,405",36.50%,30.10%,"₹86,40,244",9.5,₹164.03,"5,07,488"
Hombegowda Nagara,"1,87,798","1,85,851","1,53,309","82,337","80,665","50,995",99.00%,82.50%,53.70%,98.00%,"29,658",36.80%,27.20%,"₹62,91,069",7,₹125.66,"3,53,327"
Sanjaya Nagar,"1,43,563","1,41,792","1,05,561","77,013","75,072","50,538",98.80%,74.40%,73.00%,97.50%,"24,522",32.70%,35.20%,"₹73,08,004",8.2,₹143.16,"4,26,660"
Subramanya Nagar,"1,42,344","1,40,117","1,02,989","81,836","79,836","50,249",98.40%,73.50%,79.50%,97.60%,"29,558",37.00%,35.30%,"₹71,27,909",7.5,₹132.40,"4,07,808"
Lingarajapura,"1,48,022","1,46,526","1,23,830","76,815","75,623","49,703",99.00%,84.50%,62.00%,98.40%,"25,904",34.30%,33.60%,"₹63,84,820",7.2,₹129.28,"3,58,627"
Dharmaraya Swamy Temple Ward,"2,22,495","2,20,121","1,80,069","94,411","92,450","48,775",98.90%,81.80%,52.40%,97.90%,"43,656",47.20%,21.90%,"₹71,30,464",8.8,₹154.13,"4,13,437"
Ganesh Mandir ward,"1,22,531","1,21,024","93,178","71,455","69,695","48,734",98.80%,77.00%,76.70%,97.50%,"20,957",30.10%,39.80%,"₹56,35,564",6.7,₹120.17,"3,19,789"
Jalakanteshwara Nagara,"2,17,463","2,14,377","1,80,971","74,335","73,168","48,553",98.60%,84.40%,41.10%,98.40%,"24,598",33.60%,22.30%,"₹72,54,247",8.3,₹148.83,"4,10,574"
Lal Bahadur Nagar,"1,88,641","1,86,477","1,47,157","75,925","74,255","48,533",98.90%,78.90%,51.60%,97.80%,"25,703",34.60%,25.70%,"₹68,98,160",7.9,₹142.39,"3,91,923"
Yediyur,"1,38,460","1,36,840","1,09,751","71,473","69,627","47,064",98.80%,80.20%,65.10%,97.40%,"22,549",32.40%,34.00%,"₹57,81,131",6.5,₹118.91,"3,27,960"
RBI layout,"1,55,449","1,53,431","1,24,163","70,922","69,364","46,048",98.70%,80.90%,57.10%,97.80%,"23,307",33.60%,29.60%,"₹64,26,182",7.6,₹132.42,"3,68,821"
Basavanagudi,"1,16,010","1,14,603","87,055","65,324","63,518","44,991",98.80%,76.00%,75.00%,97.20%,"18,517",29.10%,38.80%,"₹53,52,671",6.4,₹116.34,"3,06,093"
Ashoka Pillar,"1,51,317","1,49,550","1,21,406","70,882","69,290","44,973",98.80%,81.20%,58.40%,97.80%,"24,307",35.10%,29.70%,"₹54,49,922",6.7,₹121.67,"3,07,212"
Jakkasandra,"1,99,711","1,96,593","1,59,682","78,014","76,201","44,701",98.40%,81.20%,48.90%,97.70%,"31,482",41.30%,22.40%,"₹63,02,419",8,₹145.47,"3,56,147"
